10000305,burro creek campground 
10001419,cold brook campground
10001432,cottonwood springs campground
10001451,steel creek campground
10003362,chinamen's campground
10003401,jo bonner  campground 
10003508,eagleview park
10004152,camp 4
10004300,lakeside campground (nd)
10004358,station camp campground
10004589,earl cook recreation area
10004592,hardley creek park
10004594,horace king park
10004596,long cane recreation area
10004598,mcgee bridge park
10004600,rocky point recreation area
10004602,veasey creek park
10004604,yellowjacket creek recreation area
10004657,bay view house
10004659,beach view house
10004661,le count beach  house
10004663,ocean view house
10004665,seashore modern house
10004667,sunrise house
10004919,lake powhatan glamping
10004932,gorge lake campground
10005253,(lake alpine) west shore
10005279,william h harsha lake dam
10005349,log gulch campground
10005351,blue lake campground group site - modoc nf (ca)
10005354,cave run dam tailwater
10005358,somerfield north recreation area
10005414,rock creek guard station 
10005977,anderson road day use
10006147,overlook day use (tx)
10006149,overlook recreation area
10006204,beaver creek a-frame
10006206,moon lake guard station 
10006208,joe thompson cabin
10007130,cabin camp 3
10007154,confluence recreation area
10007156,chellberg farm picnic shelters
10007160,spyglass ground house
10007179,leatherwood recreation area
10007207,west beach picnic shelters
10008944,greenville campground
10009517,vedauwoo gazebo
10009675,millwood overlook pavilion
10010172,skunk point group campground
10011396,wolf ford horse camp
10012078,point cedar
10012141,westwater group site (ranger station)
10028678,saguaro national park wilderness permits
10028875,big bend backcountry camping
10028991,fenwick mines pavilion
10029004,mchenry avenue recreation area
10029012,valley oak recreation area
10032028,moqui group campground
10035048,applegate cove
10035081,cowlington point
10035281,short mountain cove
10036862,dam east picnic shelter (shelbyville)
10036864,dam west overlook picnic shelter
10036866,dam west picnic shelters (shelbyville)
10036879,forrest w. bo wood picnic shelter
10036881,lone point picnic shelter
10036906,spillway picnic shelters (shelbyville)
10036909,sullivan beach picnic shelter
10038712,card creek 
10038733,doris campground
10038827,ivans
10038964,outlet channel 
10038980,rattan landing
10038994,reynolds creek group camp (id) 
10039071,wildwood (ok)
10039838,ahart campground
10039845,gull lake campground
10039857,anvil lake campground
10039887,dark day campground
10039993,garden point boat-in campground
10040012,hornswoggle group campground
10040020,long valley group campground
10040022,madrone cove boat-in campground
10040047,schoolhouse campground (ca) 
10040524,brush creek public use area
10040545,dewey short visitor center
10040547,grout pond campground
10040565,indian meadows guard station
10040567,knightville dam
10040569,little mattie campground
10040589,nevada creek cabin
10040591,oh be joyful campground
10040622,ophir creek campground (co)
10040993,ken's lake campground
10041284,damsite texas
10041304,deep creek campground (nc)
10041410,painted rock petroglyph campground
10041495,sunset bay
10041510,walnut creek 
10044710,atwell mill campground
10044761,moraine campground (ca)
10044765,sheep creek campground
10046288,pat's bluff
10046828,aa bar ranch (aa barn) group picnic site
10046897,riggs lake
10046915,mortimer campground
10046989,bear river campground
10046994,beaver view campground
10047013,botts campground
10047031,butterfly campground
10047052,card picnic area
10047057,china meadows trailhead campground
10047070,china meadows campground
10047080,chokecherry picnic area
10047085,brandy creek rv campground 
10047120,lake ottawa campground
10047182,warner valley campground
10047884,deadhorse trailhead campground
10047895,hayden fork campground
10047905,hoop lake trailhead campground
10047913,hoop lake campground
10047958,lewis m. turner campground (ut)
10047969,lilly lake campground
10047984,little lyman lake campground
10047995,magpie campground (ut)
10048006,maple bench campground
10048017,maple lake campground
10048028,meeks cabin campground
10048053,pioneer campground (ut)
10048073,preston valley campground 
10048096,shady dell campground
10048117,shenoah picnic area
10048127,shingle creek atv campground
10048149,smithfield campground
10048156,spring campground (ut)
10048160,upper meadows campground
10048170,cobblerest campground
10048189,cottonwood campground - slrd
10048193,dewitt picnic area
10048198,intake campground
10048215,loop campground (ut)
10048229,lower meadows campground
10048253,lower narrows campground
10048257,lower provo campground
10048689,holly springs rd - fs
10048873,willows campground (ut)
10048891,wolverine atv trailhead campground
10048898,yellow pine campground (ut)
10048953,lodge campground (ut)
10048964,boulder beach group campsites
10048970,barre falls dam picnic shelter
10048983,mammoth cave backcountry camping
10048998,horseshoe road recreation area
10049020,upper manistee river backcountry campsites
10049270,(lake alpine) backpackers
10049271,lone point group camp
10049272,oak grove (ms)
10049273,pinon campground (quemado lake)
10049434,clear creek - ozark lake (ar)
10049525,northshore campground - loon lake (ca)
10049551,wood camp campground (ut)
10050235,blue ridge park
10050257,horseshoe bend (dierks lake)
10050271,overlook (dierks lake)
10050273,west end tent and trailer campground
10050606,beard's lake park
10050743,fawn creek youth campground
10051899,lincoln memorial grounds mixed use fields
10051955,lincoln memorial grounds softball fields
10051978,raoul wallenberg mixed use field
10052002,west potomac park mixed use fields
10052058,west potomac park softball fields
10052147,stephens park
10052157,south abutment east
10052170,tom merrill recreation area
10052192,wenks landing
10052204,east potomac park softball fields
10052227,juniper campground (quemado lake)
10052246,saratoga park
10052578,hains point mixed use field
10052638,redbud bay
10052650,tortilla campground
10053715,bryant campground
